vmTypeId,core,memory
0,0.009615384615384616,0.0013333333333333333
1,0.009615384615384616,0.003111111111111111
2,0.019230769230769232,0.006222222222222222
3,0.038461538461538464,0.012444444444444444
4,0.07692307692307693,0.024888888888888887
5,0.009615384615384616,0.0071111111111111115
6,0.009615384615384616,0.0071111111111111115
7,0.019230769230769232,0.014222222222222223
8,0.038461538461538464,0.028444444444444446
9,0.07692307692307693,0.05688888888888889
10,0.15384615384615385,0.11377777777777778
11,0.23076923076923078,0.17066666666666666
12,0.3076923076923077,0.22755555555555557
13,0.34615384615384615,0.256
14,1.0,1.0
15,0.0009615384615384616,0.0008888888888888889
16,0.0038461538461538464,0.0035555555555555557
17,0.0019230769230769232,0.0017777777777777779
18,0.011538461538461539,0.014222222222222223
19,0.011538461538461539,0.014222222222222223
20,0.007692307692307693,0.0071111111111111115
21,0.01730769230769231,0.028444444444444446
22,0.01730769230769231,0.028444444444444446
23,0.025384615384615384,0.05688888888888889
24,0.04153846153846154,0.08533333333333333
25,0.06153846153846154,0.11377777777777778
26,0.07692307692307693,0.14222222222222222
41,0.009615384615384616,0.006222222222222222
42,0.019230769230769232,0.012444444444444444
43,0.038461538461538464,0.024888888888888887
44,0.07692307692307693,0.049777777777777775
45,0.15384615384615385,0.09955555555555555
46,0.019230769230769232,0.024888888888888887
47,0.038461538461538464,0.049777777777777775
48,0.07692307692307693,0.09955555555555555
49,0.15384615384615385,0.1991111111111111
50,0.009615384615384616,0.006222222222222222
51,0.019230769230769232,0.012444444444444444
52,0.038461538461538464,0.024888888888888887
53,0.07692307692307693,0.049777777777777775
54,0.15384615384615385,0.09955555555555555
55,0.019230769230769232,0.024888888888888887
56,0.038461538461538464,0.049777777777777775
57,0.07692307692307693,0.09955555555555555
58,0.15384615384615385,0.1991111111111111
59,0.009615384615384616,0.0035555555555555557
60,0.019230769230769232,0.0071111111111111115
61,0.038461538461538464,0.014222222222222223
62,0.07692307692307693,0.028444444444444446
63,0.15384615384615385,0.05688888888888889
64,0.009615384615384616,0.006222222222222222
65,0.019230769230769232,0.012444444444444444
66,0.038461538461538464,0.024888888888888887
67,0.07692307692307693,0.049777777777777775
68,0.15384615384615385,0.09955555555555555
69,0.009615384615384616,0.024888888888888887
70,0.019230769230769232,0.024888888888888887
71,0.009615384615384616,0.049777777777777775
72,0.019230769230769232,0.049777777777777775
73,0.038461538461538464,0.049777777777777775
74,0.019230769230769232,0.09955555555555555
75,0.038461538461538464,0.09955555555555555
76,0.07692307692307693,0.09955555555555555
77,0.038461538461538464,0.1991111111111111
78,0.07692307692307693,0.1991111111111111
79,0.15384615384615385,0.1991111111111111
80,0.009615384615384616,0.006222222222222222
81,0.019230769230769232,0.012444444444444444
82,0.038461538461538464,0.024888888888888887
83,0.07692307692307693,0.049777777777777775
84,0.15384615384615385,0.09955555555555555
85,0.019230769230769232,0.024888888888888887
86,0.038461538461538464,0.049777777777777775
87,0.019230769230769232,0.09955555555555555
88,0.038461538461538464,0.09955555555555555
89,0.07692307692307693,0.09955555555555555
90,0.038461538461538464,0.1991111111111111
91,0.07692307692307693,0.1991111111111111
