vmTypeId,priority,starttime,endtime,core,memory,machineId
42,0,1.157401129603386e-05,0.0011113542132079601,0.019230769230769232,0.012444444444444444,16
73,0,1.157401129603386e-05,0.017206192016601562,0.038461538461538464,0.049777777777777775,16
64,0,1.157401129603386e-05,0.20727918995544314,0.009615384615384616,0.006222222222222222,16
68,0,1.157401129603386e-05,0.019393773283809423,0.15384615384615385,0.09955555555555555,16
68,0,1.157401129603386e-05,0.019393773283809423,0.15384615384615385,0.09955555555555555,16
68,0,1.157401129603386e-05,0.019393773283809423,0.15384615384615385,0.09955555555555555,16
73,0,2.314802259206772e-05,0.10330471070483327,0.038461538461538464,0.049777777777777775,16
73,0,2.314802259206772e-05,0.10330471070483327,0.038461538461538464,0.049777777777777775,16
112,0,2.314802259206772e-05,0.008022928144782782,0.0033653846153846156,0.0035555555555555557,16
138,0,2.314802259206772e-05,0.20728047471493483,0.019230769230769232,0.028444444444444446,16
466,0,3.472203388810158e-05,1.9717304976657033,0.3076923076923077,0.45511111111111113,16
9,0,3.472203388810158e-05,0.04031895846128464,0.07692307692307693,0.05688888888888889,16
73,0,3.472203388810158e-05,0.24917567148804665,0.038461538461538464,0.049777777777777775,16
73,0,3.472203388810158e-05,0.24917567148804665,0.038461538461538464,0.049777777777777775,16
112,0,3.472203388810158e-05,0.011759456247091293,0.0033653846153846156,0.0035555555555555557,16
112,0,3.472203388810158e-05,0.01280679414048791,0.0033653846153846156,0.0035555555555555557,16
112,0,3.472203388810158e-05,0.013319096993654966,0.0033653846153846156,0.0035555555555555557,16
122,0,4.6296510845422745e-05,0.13124950230121613,0.009615384615384616,0.014222222222222223,16
122,0,4.6296510845422745e-05,0.13124950230121613,0.009615384615384616,0.014222222222222223,16
122,0,4.6296510845422745e-05,0.13124950230121613,0.009615384615384616,0.014222222222222223,16
112,0,4.6296510845422745e-05,0.011113889049738646,0.0033653846153846156,0.0035555555555555557,16
112,0,4.6296510845422745e-05,0.02526728017255664,0.0033653846153846156,0.0035555555555555557,16
66,0,4.6296510845422745e-05,0.04032312519848347,0.038461538461538464,0.024888888888888887,16
42,0,4.6296510845422745e-05,0.01079988433048129,0.019230769230769232,0.012444444444444444,16
