vmId,vmTypeId,priority,starttime,endtime,core,memory,machineId
1530950,42,0,1.157401129603386e-05,0.0011113542132079601,0.019230769230769232,0.012444444444444444,16
5523507,73,0,1.157401129603386e-05,0.017206192016601562,0.038461538461538464,0.049777777777777775,16
6634054,64,0,1.157401129603386e-05,0.20727918995544314,0.009615384615384616,0.006222222222222222,16
7403602,68,0,1.157401129603386e-05,0.019393773283809423,0.15384615384615385,0.09955555555555555,16
7403603,68,0,1.157401129603386e-05,0.019393773283809423,0.15384615384615385,0.09955555555555555,16
7403604,68,0,1.157401129603386e-05,0.019393773283809423,0.15384615384615385,0.09955555555555555,16
2835452,73,0,2.314802259206772e-05,0.10330471070483327,0.038461538461538464,0.049777777777777775,16
2835453,73,0,2.314802259206772e-05,0.10330471070483327,0.038461538461538464,0.049777777777777775,16
3571677,112,0,2.314802259206772e-05,0.008022928144782782,0.0033653846153846156,0.0035555555555555557,16
5509912,138,0,2.314802259206772e-05,0.20728047471493483,0.019230769230769232,0.028444444444444446,16
307232,466,0,3.472203388810158e-05,1.9717304976657033,0.3076923076923077,0.45511111111111113,16
1854999,9,0,3.472203388810158e-05,0.04031895846128464,0.07692307692307693,0.05688888888888889,16
2828640,73,0,3.472203388810158e-05,0.24917567148804665,0.038461538461538464,0.049777777777777775,16
2828641,73,0,3.472203388810158e-05,0.24917567148804665,0.038461538461538464,0.049777777777777775,16
3571678,112,0,3.472203388810158e-05,0.011759456247091293,0.0033653846153846156,0.0035555555555555557,16
7245120,112,0,3.472203388810158e-05,0.01280679414048791,0.0033653846153846156,0.0035555555555555557,16
7245121,112,0,3.472203388810158e-05,0.013319096993654966,0.0033653846153846156,0.0035555555555555557,16
143948,122,0,4.6296510845422745e-05,0.13124950230121613,0.009615384615384616,0.014222222222222223,16
143949,122,0,4.6296510845422745e-05,0.13124950230121613,0.009615384615384616,0.014222222222222223,16
143950,122,0,4.6296510845422745e-05,0.13124950230121613,0.009615384615384616,0.014222222222222223,16
3571679,112,0,4.6296510845422745e-05,0.011113889049738646,0.0033653846153846156,0.0035555555555555557,16
5468059,112,0,4.6296510845422745e-05,0.02526728017255664,0.0033653846153846156,0.0035555555555555557,16
5509913,66,0,4.6296510845422745e-05,0.04032312519848347,0.038461538461538464,0.024888888888888887,16
6269968,42,0,4.6296510845422745e-05,0.01079988433048129,0.019230769230769232,0.012444444444444444,16
2094059,16,0,5.7870522141456604e-05,4.167291574180126,0.0038461538461538464,0.0035555555555555557,16
2094060,16,0,5.7870522141456604e-05,4.167291574180126,0.0038461538461538464,0.0035555555555555557,16
7245122,112,0,5.7870522141456604e-05,0.008318171370774508,0.0033653846153846156,0.0035555555555555557,16
7245123,112,0,5.7870522141456604e-05,0.008870300836861134,0.0033653846153846156,0.0035555555555555557,16
3748439,136,0,8.101854473352432e-05,0.0014998726546764374,0.009615384615384616,0.014222222222222223,16
3748440,136,0,8.101854473352432e-05,0.0014998726546764374,0.009615384615384616,0.014222222222222223,16
3748441,136,0,8.101854473352432e-05,0.0014998726546764374,0.009615384615384616,0.014222222222222223,16
3748442,136,0,8.101854473352432e-05,0.0014998726546764374,0.009615384615384616,0.014222222222222223,16
5342439,41,0,8.101854473352432e-05,0.017252419143915176,0.009615384615384616,0.006222222222222222,16
5509914,66,0,0.00010416656732559204,0.04032315965741873,0.038461538461538464,0.024888888888888887,16
271706,67,1,0.0001157405786216259,0.0038195140659809113,0.07692307692307693,0.049777777777777775,16
271707,67,1,0.0001157405786216259,0.0038195252418518066,0.07692307692307693,0.049777777777777775,16
271708,67,1,0.0001157405786216259,0.0005060532130300999,0.07692307692307693,0.049777777777777775,16
271709,67,1,0.0001157405786216259,0.0005060648545622826,0.07692307692307693,0.049777777777777775,16
271710,67,1,0.0001157405786216259,0.003819548524916172,0.07692307692307693,0.049777777777777775,16
271711,67,1,0.0001157405786216259,0.0038195601664483547,0.07692307692307693,0.049777777777777775,16
271712,67,1,0.0001157405786216259,0.0038195718079805374,0.07692307692307693,0.049777777777777775,16
271713,67,1,0.0001157405786216259,0.00381958344951272,0.07692307692307693,0.049777777777777775,16
271714,67,1,0.0001157405786216259,0.00381958344951272,0.07692307692307693,0.049777777777777775,16
271715,67,1,0.0001157405786216259,0.003819595091044903,0.07692307692307693,0.049777777777777775,16
271716,67,1,0.0001157405786216259,0.003819606266915798,0.07692307692307693,0.049777777777777775,16
271717,67,1,0.0001157405786216259,0.003819617908447981,0.07692307692307693,0.049777777777777775,16
